sawtooth,data,point
4336.3753125,4355,7
4341.495,4362,8
4346.6146875,4368,9
4351.734375,4376,10
4356.8540625,4383,11
4361.97375,4388,12
4367.0934375,4390,13
4372.213125,4398,14
4377.3328125,4405,15
4382.4525,4406,16
4387.5721875,4405,17
4392.691875,4410,18
4397.8115625,4412,19
4402.93125,4418,20
4408.0509375,4423,21
4413.170625,4427,22
4418.2903125,4431,23
4423.41,4441,24
4428.5296875,4448,25
4433.649375,4455,26
4438.7690625,4462,27
4443.88875,4470,28
4449.0084375,4473,29
4454.128125,4481,30
4459.2478125,4484,31
4464.3675,4484,32
4469.4871875,4489,33
4474.606875,4489,34
4479.7265625,4498,35
4484.84625,4501,36
4489.9659375,4505,37
4495.085625,4510,38
4500.2053125,4514,39
4505.325,4520,40
4510.4446875,4531,41
4515.564375,4538,42
4520.6840625,4545,43
4525.80375,4550,44
4530.9234375,4551,45
4536.043125,4558,46
4541.1628125,4561,47
4546.2825,4560,48
4551.4021875,4566,49
4556.521875,4573,50
4561.6415625,4574,51
4566.76125,4578,52
4571.8809375,4578,53
4577.000625,4584,54
4582.1203125,4592,55
4587.24,4599,56
4592.3596875,4606,57
4597.479375,4616,58
4602.5990625,4620,59
4607.71875,4630,60
4612.8384375,4633,61
4617.958125,4636,62
4623.0778125,4640,63
4628.1975,4643,0
4633.3171875,4643,1
4638.436875,4654,2
4643.5565625,4654,3
4648.67625,4658,4
4653.7959375,4664,5
4658.915625,4668,6
4664.0353125,4673,7
4669.155,4682,8
4674.2746875,4687,9
4679.394375,4694,10
4684.5140625,4704,11
4689.63375,4705,12
4694.7534375,4712,13
4699.873125,4716,14
4704.9928125,4720,15
4710.1125,4722,16
4715.2321875,4726,17
4720.351875,4731,18
4725.4715625,4735,19
4730.59125,4737,20
4735.7109375,4743,21
4740.830625,4749,22
4745.9503125,4753,23
4751.07,4759,24
4756.1896875,4764,25
4761.309375,4775,26
4766.4290625,4783,27
4771.54875,4790,28
4776.6684375,4792,29
4781.788125,4798,30
4786.9078125,4802,31
4792.0275,4802,32
4797.1471875,4809,33
4802.266875,4810,34
4807.3865625,4816,35
4812.50625,4823,36
4817.6259375,4825,37
4822.745625,4826,38
4827.8653125,4835,39
4832.985,4842,40
4838.1046875,4848,41
4843.224375,4858,42
4848.3440625,4863,43
4853.46375,4867,44
4858.5834375,4870,45
4863.703125,4875,46
4868.8228125,4884,47
4873.9425,4882,48
4879.0621875,4888,49
4884.181875,4892,50
4889.3015625,4890,51
4894.42125,4896,52
4899.5409375,4901,53
4904.660625,4903,54
4909.7803125,4910,55
4914.9,4916,56
